Suburb,Postcode,Lat,Lng,Domain_id,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,auctionNumberWithdrawn,daysOnMarket,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
Box Hill,3128,-37.8333543,145.1210303,5477,,,,,,,,,,,,,,,,
Box Hill North,3129,-37.8052948,145.1210303,5547,,,,,,,,,,,,,,,,
Box Hill South,3128,-37.8333543,145.1210303,5567,,,,,,,,,,,,,,,,
Boxwood,3725,-36.4002774,145.958135,5597,,,,,,,,,,,,,,,,
Bradford,3463,-36.9483008,143.9759139,5617,,,,,,,,,,,,,,,,
Bradvale,3361,-37.7488709,143.3474304,5637,,,,,,,,,,,,,,,,
Braeside,3195,-38.0005492,145.1044805,5647,,,,,,,,,,,,,,,,
Brandy Creek,3821,-38.0844084,146.002705,5667,,,,,,,,,,,,,,,,
Branxholme,3302,-37.8391588,141.8100218,5677,,,,,,,,,,,,,,,,
Bravington,3821,-38.0844084,146.002705,5687,,,,,,,,,,,,,,,,
Braybrook,3019,-37.7903679,144.8566207,5697,,,,,,,,,,,,,,,,
Breakaway Creek,3303,-37.9603082,141.5570726,5717,,,,,,,,,,,,,,,,
Breakwater,3219,-38.176358,144.3849841,5727,,,,,,,,,,,,,,,,
Breamlea,3227,-38.2498059,144.4232713,5737,,,,,,,,,,,,,,,,
Brenanah,3517,-36.515547,143.8671868,5747,,,,,,,,,,,,,,,,
Briagolong,3860,-37.6951451,146.9661233,5787,,,,,,,,,,,,,,,,
Briar Hill,3088,-37.698595,145.1099967,5807,,,,,,,,,,,,,,,,
Bridgewater,3516,-36.6251143,144.0194472,5857,,,,,,,,,,,,,,,,
Bridgewater North,3516,-36.6251143,144.0194472,5877,,,,,,,,,,,,,,,,
Bridgewater on Loddon,3516,-36.6251143,144.0194472,5917,,,,,,,,,,,,,,,,
Bright,3741,-36.882628,147.0562333,5937,,,,,,,,,,,,,,,,
Brighton,3186,-37.9044002,144.9997396,5957,,,,,,,,,,,,,,,,
Brighton East,3187,-37.9179439,145.0190242,5997,,,,,,,,,,,,,,,,
Brim,3391,-36.0562538,142.4252353,6007,,,,,,,,,,,,,,,,
Brimin,3685,-36.0564816,146.4495924,6047,,,,,,,,,,,,,,,,
Bringalbert,3319,-36.8910613,141.0540674,6077,,,,,,,,,,,,,,,,
Broadford,3658,-37.2372916,145.093449,6097,,,,,,,,,,,,,,,,
Broadmeadows,3047,-37.6763574,144.9336544,6127,,,,,,,,,,,,,,,,
Bromley,3472,-36.8747643,143.6068646,6177,,,,,,,,,,,,,,,,
Brookfield,3338,-37.7810237,144.5437205,6207,,,,,,,,,,,,,,,,
Brooklyn,3012,-37.8146251,144.8456217,6227,,,,,,,,,,,,,,,,
Brookville,3896,-37.1819263,147.7799935,6247,,,,,,,,,,,,,,,,
Broomfield,3364,-37.3708363,143.9541563,6267,,,,,,,,,,,,,,,,
Browns Plains,3685,-36.0564816,146.4495924,6307,,,,,,,,,,,,,,,,
Bruarong,3749,-36.3378001,146.8536008,6317,,,,,,,,,,,,,,,,
Brumby,3885,-37.2938907,148.2804541,6347,,,,,,,,,,,,,,,,
Brunswick,3056,-37.7666099,144.9584302,6377,,,,,,,,,,,,,,,,
Brunswick East,3057,-37.769412,144.9804594,6427,,,,,,,,,,,,,,,,
Brunswick West,3055,-37.761,144.9419122,6447,,,,,,,,,,,,,,,,
Bruthen,3885,-37.2938907,148.2804541,6477,,,,,,,,,,,,,,,,
Buangor,3375,-37.390738,143.1749726,6487,,,,,,,,,,,,,,,,
Buchan,3885,-37.2938907,148.2804541,6497,,,,,,,,,,,,,,,,
Buchan South,3885,-37.2938907,148.2804541,6507,,,,,,,,,,,,,,,,
Buckland,3740,-36.8264122,146.8760951,6527,,,,,,,,,,,,,,,,
Buckley,3240,-38.2482932,144.1283863,6537,,,,,,,,,,,,,,,,
Buckley Swamp,3301,-37.7255033,141.8945505,6547,,,,,,,,,,,,,,,,
Budgee Budgee,3862,-37.4228208,147.1915504,52237,,,,,,,,,,,,,,,,
Budgeree,3870,-38.4631226,146.3600438,6577,,,,,,,,,,,,,,,,
Buffalo,3958,-38.6765966,146.013851,6597,,,,,,,,,,,,,,,,
Buffalo River,3737,-36.8466834,146.6962857,6607,,,,,,,,,,,,,,,,
Bulart,3314,-37.4235761,142.0639245,6617,,,,,,,,,,,,,,,,
Buldah,3890,-37.5621735,149.1960526,6627,,,,,,,,,,,,,,,,
Bulga,3586,-35.2818109,143.5094722,47917,,,,,,,,,,,,,,,,
Bulgana,3377,-37.2971613,142.9170407,6637,,,,,,,,,,,,,,,,
Bulla,3428,-37.6342319,144.7961441,6657,,,,,,,,,,,,,,,,
Bullaharre,3266,-38.3948462,143.1534436,6667,,,,,,,,,,,,,,,,
Bullarook,3352,-37.7122033,143.8671868,6677,,,,,,,,,,,,,,,,
Bullarto,3461,-37.286475,144.1938221,6687,,,,,,,,,,,,,,,,
Bulleen,3105,-37.7660476,145.0879338,6707,,,,,,,,,,,,,,,,
Bullengarook,3437,-37.5197014,144.5437205,6717,,,,,,,,,,,,,,,,
Bullioh,3700,-36.2031354,147.168985,6727,,,,,,,,,,,,,,,,
Buln Buln,3821,-38.0844084,146.002705,6747,,,,,,,,,,,,,,,,
Bumberrah,3902,-37.8149759,147.8140428,6777,,,,,,,,,,,,,,,,
Bunbartha,3634,-36.2266803,145.4250118,6787,,,,,,,,,,,,,,,,
Bundalong,3730,-36.0520717,145.8913207,6817,,,,,,,,,,,,,,,,
Bundalong South,3730,-36.0520717,145.8913207,6827,,,,,,,,,,,,,,,,
Bundara,3898,-37.022052,147.5079912,52357,,,,,,,,,,,,,,,,
Bunding,3342,-37.6114047,144.215646,6837,,,,,,,,,,,,,,,,
Bundoora,3083,-37.6987006,145.0548502,6877,,,,,,,,,,,,,,,,
Bundoora,3086,-37.72165,145.0465813,6877,,,,,,,,,,,,,,,,
Bungador,3260,-38.1491105,143.1319209,6917,,,,,,,,,,,,,,,,
Bungal,3334,-37.7625944,144.0630048,6927,,,,,,,,,,,,,,,,
